Comment       , Designator       , Footprint       ,JLCPCB Part#
LSM6DS3TR-C,U4,LGA-12(2x2),C967633
LIS3MDLTR,U3,LGA-14(2.5x3),C478483
MCP73831T-2ACI/OT,U2,SOT-23-5,C424093
TLV62569DBVR,U1,SOT-23-5,C141836
SW_Push,"SW8,SW7,SW6,SW5,SW4,SW3,SW2","SMD,12x12mm",C455234
DPDT_LATCH,SW1,SMD,C780036
420 Ω,R17,805,C42000
2.2 kΩ,"R16,R15,R14,R13,R12,R11,R10",805,C17520
4.7 kΩ,"R9,R8",805,C17673
5 kΩ,R7,805,C2828700
100 kΩ,"R6,R5,R2",805,C149504
50 Ω,R4,805,C2828865
200 Ω,R3,805,C17540
442 kΩ,R1,805,C17699
2.2 μH,L1,"SMD,4x4x3mm",C340389
GVS,"J8,J5","Push-Pull,P=2.54mm",C45011
SERVO,"J7,J6","Push-Pull,P=2.54mm",C45011
JST SH 1.0,"J4,J3",-,C160404
JST PH 2.0,J2,"SMD,P=2mm",C295747
USB_B_Micro,J1,SMD,C381144
3887 - 40P Edge Connecter,EC1,-,-
LED_RGB,D1,"SMD,2.7x2.8mm",C2874121
100 μF,"C11,C10","SMD,D6.3xL5.4mm",C3001212
.1 μF,"C9,C8,C7,C5",402,C77020
1 μF,C6,805,C28323
10 μF,"C4,C3",1206,C89632
22 μF,C2,1206,C87996
4.7 μF,C1,1206,C51205
